Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None
Single-Family Detached	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	1990s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2000s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Mobile Home	2010s	CR11	Heated Basement	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	<1940	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1940s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1950s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1960s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1970s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1980s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1990s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2000s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2010s	CR02	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	<1940	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1940s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1950s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1960s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1970s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1980s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1990s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2000s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2010s	CR03	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	<1940	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1940s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1950s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1950s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1950s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1950s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1950s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1960s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1960s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1960s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1960s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1960s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1970s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1970s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1970s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1970s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1970s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1980s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1980s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1980s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1980s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1980s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1990s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1990s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1990s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2000s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2000s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2000s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2000s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2000s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2010s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2010s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2010s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2010s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2010s	CR04	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	<1940	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	<1940	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	<1940	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	<1940	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	<1940	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1940s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1940s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1940s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1940s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1940s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1950s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1950s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1950s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1950s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1950s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1960s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1960s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1960s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1960s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1960s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1970s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1970s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1970s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1970s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1970s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1980s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1980s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1980s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1980s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1980s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1990s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1990s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1990s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2000s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2000s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2000s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2000s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2000s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2010s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2010s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2010s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2010s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	2010s	CR05	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	<1940	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	<1940	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	<1940	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	<1940	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	<1940	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1940s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1940s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1940s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1940s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1940s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1950s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1950s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1950s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1950s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1950s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1960s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1960s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1960s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1960s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1960s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1970s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1970s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1970s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1970s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1970s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Mobile Home	1980s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	1990s	CR06	Pier and Beam	0.000000	0.000000	0.000000	1.000000
