Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=Ceiling R-30	sampling_probability
CR05	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	<1940	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1940s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1950s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1960s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1970s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1980s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	1990s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	2000s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR03	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR04	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR05	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR06	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR07	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR08	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR09	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR10	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR11	2010s	Mobile Home	Unvented Crawlspace	0	1	0	0	0	0
CR02	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	<1940	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1940s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1950s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1960s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1970s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1980s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	9.99771e-05
CR02	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1990s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	5.83889e-05
CR02	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	2000s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	2.47427e-05
CR02	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	2010s	Multi-Family with 2 - 4 Units	Unvented Crawlspace	0	1	0	0	0	1.01106e-05
CR02	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	<1940	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1940s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1950s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1960s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1970s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR02	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1980s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0.000851172
CR02	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	1990s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0.000482591
CR02	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	2000s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0.000323091
CR02	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR03	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR04	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR05	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR06	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR07	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR08	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR09	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR10	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0
CR11	2010s	Multi-Family with 5+ Units	Unvented Crawlspace	0	1	0	0	0	0.000100283
CR02	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR06	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR07	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR08	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR09	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR10	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR11	<1940	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR02	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR06	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR07	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR08	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR09	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR10	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR11	1940s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR02	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR06	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR07	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR08	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR09	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR10	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR11	1950s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR02	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR06	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR07	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR08	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR09	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR10	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR11	1960s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR02	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR06	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR07	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR08	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR09	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR10	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR11	1970s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR02	1980s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR03	1980s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR04	1980s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
CR05	1980s	Single-Family Attached	Unvented Crawlspace	0	1	0	0	0	0
